ID,SeparationType,Cease Date,DETE Start Date,Role Start Date,Position,Classification,Region,Business Unit,Employment Status,Career move to public sector,Career move to private sector,Interpersonal conflicts,Job dissatisfaction,Dissatisfaction with the department,Physical work environment,Lack of recognition,Lack of job security,Work location,Employment conditions,Maternity/family,Relocation,Study/Travel,Ill Health,Traumatic incident,Work life balance,Workload,None of the above,Professional Development,Opportunities for promotion,Staff morale,Workplace issue,Physical environment,Worklife balance,Stress and pressure support,Performance of supervisor,Peer support,Initiative,Skills,Coach,Career Aspirations,Feedback,Further PD,Communication,My say,Information,Kept informed,Wellness programs,Health & Safety,Gender,Age,Aboriginal,Torres Strait,South Sea,Disability,NESB
63,Age Retirement,2012,1990,1990,Teacher Aide,,Central Office,Education Queensland,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,N,A,A,A,A,A,A,A,A,A,N,N,N,N,N,A,A,N,N,N,Female,61 or older,N/A,N/A,N/A,N/A,N/A
64,Ill Health Retirement,2012,1989,1989,Schools Officer,,Metropolitan,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,N,D,A,A,D,A,N,N,N,SA,A,A,D,A,SD,D,A,N,D,N,A,Male,56-60,N/A,N/A,N/A,N/A,N/A
65,Age Retirement,2012,1969,1985,Teacher,Primary,North Coast,,Permanent Full-time,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,N,A,D,D,A,A,D,D,A,A,SA,SA,D,D,A,D,A,A,A,D,A,Male,61 or older,N/A,N/A,N/A,N/A,N/A
66,Age Retirement,2012,1966,1985,Head of Curriculum/Head of Special Education,,South East,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,D,A,N,A,A,N,D,A,N,A,N,N,D,D,N,A,N,N,N,A,A,Female,61 or older,N/A,N/A,N/A,N/A,N/A
67,Other,2012,1969,2007,Teacher,Secondary,Not Stated,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,A,N,N/A,A,N,N,A,SA,SA,SA,SD,N,D,N/A,A,A,A,N,N/A,N/A,Male,61 or older,N/A,N/A,N/A,N/A,N/A
68,Other,2012,Not Stated,Not Stated,Teacher Aide,,Central Office,Education Queensland,Temporary Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,D,D,N,A,A,A,A,A,A,A,A,A,N,A,N,N,A,A,N,N,A,Female,26-30,N/A,N/A,N/A,N/A,N/A
69,Age Retirement,2012,1980,2006,Teacher,Primary,Metropolitan,,Permanent Part-time,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,D,D,D,D,A,D,D,D,N,D,SD,SD,D,D,D,D,D,D,D,D,D,,61 or older,N/A,N/A,N/A,N/A,N/A
70,Resignation-Other reasons,2012,2006,Not Stated,Public Servant,AO5-AO7,Central Office,Information and Technologies,Permanent Full-time,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SD,SD,D,SD,D,D,SD,SD,D,SD,SD,D,SD,SD,SD,N,SD,A,N,SD,N,Female,36-40,N/A,N/A,N/A,N/A,N/A
71,Age Retirement,2012,1975,1975,Teacher,Secondary,Metropolitan,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,SD,A,D,D,SD,D,D,D,A,A,A,A,A,A,A,A,A,N,A,D,D,Female,56-60,N/A,N/A,N/A,N/A,N/A
72,Resignation-Other reasons,2012,2011,2011,Teacher Aide,,Far North Queensland,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SA,SA,N,A,SA,SA,SA,A,A,A,A,A,SA,N,SA,D,N,SD,D,A,A,Female,36-40,N/A,N/A,N/A,N/A,N/A
73,Age Retirement,2012,Not Stated,Not Stated,Head of Curriculum/Head of Special Education,,South East,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,SA,SA,A,A,A,D,A,SA,A,A,A,A,N,A,N,A,A,SA,A,N/A,A,Female,56-60,N/A,N/A,N/A,N/A,N/A
74,Contract Expired,2012,2009,2011,Public Servant,AO5-AO7,Central Office,Information and Technologies,Temporary Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,SA,A,N,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,N,M,Male,26-30,N/A,N/A,N/A,N/A,N/A
75,Age Retirement,2012,1975,1975,Teacher,Primary,North Coast,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,A,SD,SD,SD,SD,SD,SD,N,A,A,N,A,SD,N,SD,SD,N,N,SD,SD,Female,56-60,N/A,N/A,N/A,N/A,N/A
76,Contract Expired,2012,2010,2012,Public Servant,A01-A04,Central Office,Information and Technologies,Temporary Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,A,N,A,A,A,A,A,A,SA,A,N,A,A,A,A,A,A,A,A,A,Male,26-30,N/A,N/A,N/A,N/A,Yes
77,Ill Health Retirement,2012,1984,2010,Teacher,Primary,Darling Downs South West,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,SA,SA,A,A,N,A,A,SA,SA,SA,SA,SA,SA,A,SA,A,A,A,A,N,N,Female,56-60,N/A,N/A,N/A,N/A,N/A
78,Termination,2012,2007,2007,Public Servant,AO5-AO7,Central Office,Information and Technologies,Temporary Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N,SD,N,N,A,A,A,SA,A,SD,SD,D,A,A,D,A,A,A,A,N,N,Male,51-55,N/A,N/A,N/A,N/A,N/A
79,Contract Expired,2012,2008,2012,Public Servant,AO5-AO7,Central Office,Information and Technologies,Temporary Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,A,N,A,A,SA,SA,A,SA,SA,SA,A,SA,SA,SA,SA,SA,A,A,A,SA,Male,21-25,N/A,N/A,N/A,N/A,N/A
80,Termination,2012,2007,2011,Public Servant,AO5-AO7,Central Office,Information and Technologies,Temporary Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,A,A,A,A,SA,A,A,A,A,A,SA,D,A,A,A,A,A,A,A,N,N,Male,26-30,N/A,N/A,N/A,N/A,N/A
81,Contract Expired,2012,1968,2004,Public Servant,AO5-AO7,Central Office,Other,Temporary Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N,N,N,D,N,N,N,D,A,N,N,D,D,D,D,D,N,N,D,N,D,Female,61 or older,N/A,N/A,N/A,N/A,N/A
82,Contract Expired,2012,2011,2011,Technical Officer,,Central Office,Education Queensland,Temporary Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N,N,SA,N,SA,A,D,SA,SA,A,SA,SA,N,A,N,A,N,A,N,N,N/A,Female,21-25,N/A,N/A,N/A,Yes,N/A
83,Voluntary Early Retirement (VER),2012,1991,2010,Deputy Principal,,Not Stated,,Permanent Full-time,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,SD,SD,A,D,SD,SD,SD,SD,SD,SD,N,SD,N,SD,SD,SD,SD,N,A,Female,51-55,Yes,N/A,N/A,N/A,N/A
84,Contract Expired,2012,2011,2012,Public Servant,A01-A04,Metropolitan,,Temporary Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SA,N,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,D,A,Female,41-45,N/A,N/A,N/A,N/A,Yes
85,Termination,2012,2010,2010,Public Servant,AO5-AO7,Not Stated,,Temporary Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SA,A,A,A,A,SA,SA,A,SA,SA,SA,A,A,A,A,A,A,A,A,A,M,Female,56-60,N/A,N/A,N/A,N/A,N/A
86,Age Retirement,2012,1971,1975,School Principal,,Metropolitan,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,D,D,SD,D,SD,D,SD,SD,D,SD,D,A,SD,SD,SD,SA,SD,SD,D,SA,SA,Male,56-60,N/A,N/A,N/A,N/A,N/A
87,Termination,2012,2011,2011,Public Servant,A01-A04,South East,,Temporary Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,N,N,A,A,A,A,A,A,A,A,N,D,A,A,A,A,A,A,A,A,A,Female,56-60,N/A,N/A,N/A,N/A,N/A
88,Resignation-Move overseas/interstate,2012,2007,2007,Teacher,Secondary,Central Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,N/A,A,Female,26-30,N/A,N/A,N/A,N/A,N/A
89,Termination,2012,2002,2011,Public Servant,AO5-AO7,Metropolitan,,Temporary Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,D,SA,SA,SA,SA,D,M,SA,SA,SA,SA,N/A,SA,SA,D,SA,SA,SA,A,SA,SA,Male,46-50,N/A,N/A,N/A,N/A,N/A
90,Age Retirement,2013,1972,1975,Teacher,Primary,Central Queensland,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,SA,SA,A,A,A,D,D,A,A,A,A,N/A,A,A,A,A,A,A,A,SA,SA,Female,56-60,N/A,N/A,N/A,N/A,N/A
91,Resignation-Other employer,2012,1986,1986,Teacher Aide,,North Coast,,Permanent Part-time,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,N,N,N,N,N,N,SA,SA,N,N,SA,SA,SA,SA,SA,SA,SA,A,A,Female,41-45,N/A,N/A,N/A,N/A,N/A
92,Age Retirement,2012,1975,1978,Teacher,Primary,North Coast,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,A,D,N,A,A,A,A,D,A,A,A,D,D,A,A,A,D,A,A,D,A,Male,56-60,N/A,N/A,N/A,N/A,N/A
93,Age Retirement,2012,1972,2008,Head of Curriculum/Head of Special Education,,Darling Downs South West,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,SA,A,A,SA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Female,56-60,N/A,N/A,N/A,N/A,N/A
94,Resignation-Move overseas/interstate,2012,2002,2002,Teacher,Secondary,South East,,Permanent Full-time,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,N,N,SD,SD,A,SD,SD,SD,A,N,N,D,A,A,A,A,N,N,N,N,N,Female,41-45,N/A,N/A,N/A,N/A,N/A
95,Voluntary Early Retirement (VER),2012,1973,1976,Teacher,Primary,South East,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,A,N,SD,D,N,SD,SD,D,N,N,N,N,D,N,N,D,D,N,N,D,D,Female,51-55,N/A,N/A,N/A,N/A,Yes
96,Age Retirement,2012,1979,2008,Teacher,Primary,Central Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,A,D,A,D,A,N,D,A,A,A,D,D,D,N,A,D,N,A,D,A,Male,51-55,N/A,N/A,N/A,N/A,N/A
97,Age Retirement,2012,1971,2008,Teacher,Primary,North Coast,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,N,A,D,D,A,A,N,A,SA,N,A,A,N,N/A,A,A,A,A,N,N,A,Male,56-60,N/A,N/A,N/A,N/A,N/A
98,Age Retirement,2012,1978,1996,,,North Coast,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,SA,A,A,A,A,A,SA,SA,SA,A,A,A,SA,A,A,SA,SA,SA,A,A,Male,56-60,N/A,N/A,N/A,N/A,N/A
99,Age Retirement,2012,2002,2004,Schools Officer,,North Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,D,D,D,A,A,A,N,A,D,SA,SA,D,N,A,N,SD,SD,SD,SD,A,D,Male,61 or older,N/A,N/A,N/A,N/A,N/A
100,Resignation-Move overseas/interstate,2012,2011,2011,Teacher,Secondary,Darling Downs South West,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,D,N/A,N,N/A,D,N,N,N,N,SA,A,N,N,N,N,N,A,A,A,D,N,Male,31-35,N/A,N/A,N/A,N/A,N/A
101,Resignation-Other reasons,2012,2006,2008,Teacher Aide,,Not Stated,,Permanent Part-time,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,N,N,D,A,D,D,D,N,N,A,A,D,SD,N,SD,N,N,D,D,D,Female,36-40,N/A,N/A,N/A,N/A,N/A
102,Age Retirement,2012,1978,2001,Teacher,Primary,Metropolitan,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SA,SA,SD,SA,A,A,A,A,N,SA,SA,A,SA,N,SA,A,A,A,A,A,A,Female,51-55,N/A,N/A,N/A,N/A,N/A
103,Resignation-Other reasons,2012,2002,2007,Teacher,Primary,Darling Downs South West,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,D,D,SD,SD,N,SD,SD,SD,A,SD,SD,N,SD,SD,SD,SD,SD,SD,SD,SD,SD,Female,51-55,N/A,N/A,N/A,N/A,N/A
104,Resignation-Other reasons,2012,2004,2008,,,Metropolitan,,Permanent Part-time,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,D,SD,SD,SD,A,A,M,SD,A,SD,SD,SD,D,SD,SD,SD,SD,SD,SD,SD,SD,Female,51-55,N/A,N/A,N/A,N/A,N/A
105,Age Retirement,2012,1979,1979,Cleaner,,Not Stated,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,N/A,A,A,A,SA,A,SA,A,A,A,N/A,N/A,N/A,N/A,A,A,A,A,N/A,A,Female,61 or older,N/A,N/A,N/A,N/A,N/A
106,Age Retirement,2012,2000,2000,Teacher Aide,,North Coast,,Permanent Part-time,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,N/A,N/A,D,D,N,A,D,N,A,A,A,SD,N/A,A,N/A,D,D,D,D,N/A,N/A,Female,56-60,N/A,N/A,N/A,N/A,N/A
107,Resignation-Other reasons,2012,Not Stated,Not Stated,Teacher Aide,,Central Office,Training and Tertiary Education Queensland,Temporary Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,SA,SD,A,A,A,SD,A,A,A,A,D,A,D,D,D,A,A,N,N,A,A,Female,46-50,N/A,N/A,Yes,N/A,N/A
108,Ill Health Retirement,2012,1998,2002,Teacher,Special Education,Metropolitan,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,N,N,D,N,N,SD,D,D,D,A,D,N,D,N,N,D,N,N,N,N,A,Female,56-60,N/A,N/A,N/A,N/A,N/A
109,Resignation-Other reasons,2012,2008,2009,Technical Officer,,Central Queensland,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,M,N,N,A,A,SA,D,A,A,SA,A,D,A,N,N,A,N,A,A,A,Female,31-35,N/A,N/A,N/A,N/A,N/A
110,Age Retirement,2012,1990,Not Stated,Public Servant,A01-A04,Metropolitan,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Female,61 or older,N/A,N/A,N/A,N/A,N/A
111,Ill Health Retirement,2012,1991,1996,Teacher,Primary,Not Stated,,Permanent Part-time,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,A,N,D,A,A,N,D,N,N,N,A,A,D,A,D,N,A,A,A,D,N,Female,61 or older,N/A,N/A,N/A,N/A,N/A
112,Resignation-Other reasons,2012,2004,2004,Teacher,Special Education,Far North Queensland,,Permanent Full-time,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Female,26-30,N/A,N/A,N/A,N/A,N/A
113,Resignation-Other reasons,2012,2007,2007,Cleaner,,North Queensland,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,N/A,N/A,Female,56-60,N/A,N/A,N/A,N/A,N/A
114,Age Retirement,2012,2009,2009,Schools Officer,,Not Stated,,Temporary Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,M,M,M,M,M,M,M,M,M,M,SA,M,M,A,M,SA,SA,N,SA,M,M,Male,56-60,Yes,N/A,N/A,N/A,N/A
115,Resignation-Move overseas/interstate,2012,1997,2004,Guidance Officer,,Darling Downs South West,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,D,N,SD,M,A,N,N,A,A,A,D,SA,SA,SA,SA,SA,SA,A,A,A,Female,41-45,N/A,N/A,N/A,N/A,N/A
116,Age Retirement,2012,1974,Not Stated,Teacher,Secondary,Metropolitan,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,A,A,A,A,A,A,A,A,A,A,A,SA,SA,SA,A,A,A,A,A,A,Female,56-60,N/A,N/A,N/A,N/A,N/A
117,Resignation-Other reasons,2012,1976,1976,,,South East,,Permanent Full-time,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,D,SD,SD,SD,A,A,SD,SD,D,D,SD,SD,SD,SD,SD,D,D,D,D,N,A,Male,56-60,N/A,N/A,N/A,N/A,N/A
118,Ill Health Retirement,2012,1986,1986,Teacher Aide,,Metropolitan,,Permanent Part-time,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,D,D,SD,SD,SD,A,SD,SD,SD,SD,SD,SD,N/A,N,N,SD,SD,SD,SD,SD,SD,Female,56-60,N/A,N/A,N/A,N/A,N/A
119,Resignation-Other employer,2012,2010,2010,Teacher,Secondary,Not Stated,,Permanent Full-time,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,SA,N,A,N,D,D,N,A,SA,SA,SA,SA,N,A,SA,A,A,SA,A,N,N,Female,46-50,N/A,N/A,N/A,N/A,N/A
120,Contract Expired,2012,2008,2011,Public Servant,AO5-AO7,Central Office,Information and Technologies,Temporary Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N,A,N,A,A,A,A,A,A,A,N,A,A,A,A,A,A,A,A,D,N,Male,31-35,N/A,N/A,N/A,N/A,N/A
121,Termination,2012,2009,2009,Public Servant,AO5-AO7,Central Office,Education Queensland,Temporary Full-time,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,D,SD,SD,A,N,N,SD,SD,D,SD,N,SD,SD,SD,D,SD,SD,SD,SD,D,Female,26-30,N/A,N/A,N/A,N/A,N/A
122,Contract Expired,2012,Not Stated,Not Stated,Public Servant,A01-A04,South East,,Temporary Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SD,D,SD,SD,D,D,D,SD,D,D,SA,SD,N,D,D,SD,SD,SD,SD,SD,SD,Male,31-35,N/A,N/A,N/A,N/A,N/A
123,Age Retirement,2012,1979,1979,Teacher,Secondary,Metropolitan,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Male,61 or older,N/A,N/A,N/A,N/A,N/A
124,Ill Health Retirement,2012,Not Stated,Not Stated,Schools Officer,,Not Stated,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,A,SD,SD,A,SD,A,A,N,N,N,N,N,D,N,N,M,M,M,M,M,M,,,N/A,N/A,N/A,N/A,N/A
125,Resignation-Other employer,2012,2012,2012,Public Servant,A01-A04,Darling Downs South West,,Permanent Part-time,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,A,SA,D,SA,SA,SA,SA,SA,SA,N,N,N,D,A,A,A,SA,N,SA,Female,36-40,N/A,N/A,N/A,N/A,N/A
126,Age Retirement,2012,1991,1991,Cleaner,,Far North Queensland,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SA,A,A,SA,SA,SA,A,SA,A,N,A,A,M,M,SA,A,SA,SA,SA,M,A,Male,61 or older,N/A,N/A,N/A,N/A,Yes
