Demographic,DBN,School Name,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort
Total Cohort,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2002,101,98,97,90,89.1,91.8,45,44.6,45.9,45,44.6,45.9,8,7.9,8.199999999999999,1,1,1,1
Total Cohort,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2003,94,92,97.9,89,94.7,96.7,64,68.099999999999994,69.599999999999994,25,26.6,27.2,3,3.2,3.3,2,2.1,0,0
Total Cohort,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2004,104,101,97.1,99,95.2,98,65,62.5,64.400000000000006,34,32.700000000000003,33.700000000000003,2,1.9,2,2,1.9,1,1
Total Cohort,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2005,96,96,100,94,97.9,97.9,55,57.3,57.3,39,40.6,40.6,2,2.1,2.1,0,0,0,0
Total Cohort,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2006,105,103,98.1,100,95.2,97.1,56,53.3,54.4,44,41.9,42.7,3,2.9,2.9,2,1.9,0,0
Total Cohort,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2006 Aug,105,103,98.1,100,95.2,97.1,56,53.3,54.4,44,41.9,42.7,3,2.9,2.9,2,1.9,0,0
Total Cohort,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,2001,83,82,98.8,80,96.4,97.6,16,19.3,19.5,64,77.099999999999994,78,2,2.4,2.4,0,0,1,1.2
Total Cohort,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,2002,102,101,99,97,95.1,96,64,62.7,63.4,33,32.4,32.700000000000003,4,3.9,4,0,0,0,0
Total Cohort,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,2003,104,102,98.1,97,93.3,95.1,75,72.099999999999994,73.5,22,21.2,21.6,5,4.8,4.9,2,1.9,0,0
Total Cohort,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,2004,102,99,97.1,92,90.2,92.9,57,55.9,57.6,35,34.299999999999997,35.4,7,6.9,7.1,2,2,1,1
Total Cohort,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,2005,133,127,95.5,118,88.7,92.9,77,57.9,60.6,41,30.8,32.299999999999997,9,6.8,7.1,4,3,2,1.5
Total Cohort,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,2006,124,113,91.1,106,85.5,93.8,62,50,54.9,44,35.5,38.9,7,5.6,6.2,9,7.3,2,1.6
Total Cohort,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,2006 Aug,124,118,95.2,106,85.5,89.8,62,50,52.5,44,35.5,37.299999999999997,12,9.699999999999999,10.199999999999999,4,3.2,2,1.6
Total Cohort,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2001,71,67,94.4,67,94.4,100,0,0,0,67,94.4,100,0,0,0,3,4.2,0,0
Male,02M419,LANDMARK HIGH SCHOOL,2004,54,25,46.3,0,0,0,0,0,0,0,0,0,25,46.3,100,21.0,38.9,6.0,11.1
Total Cohort,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2002,73,56,76.7,56,76.7,100,0,0,0,56,76.7,100,0,0,0,14,19.2,3,4.1
Total Cohort,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2003,92,85,92.4,84,91.3,98.8,0,0,0,84,91.3,98.8,1,1.1,1.2,5,5.4,2,2.2
Total Cohort,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2004,96,75,78.099999999999994,75,78.099999999999994,100,0,0,0,75,78.099999999999994,100,0,0,0,21,21.9,0,0
Total Cohort,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2005,84,73,86.9,73,86.9,100,0,0,0,73,86.9,100,0,0,0,9,10.7,2,2.4
Total Cohort,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2006,95,61,64.2,61,64.2,100,0,0,0,61,64.2,100,0,0,0,31,32.6,2,2.1
Total Cohort,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,2006 Aug,95,75,78.900000000000006,75,78.900000000000006,100,0,0,0,75,78.900000000000006,100,0,0,0,17,17.899999999999999,2,2.1
Total Cohort,02M414,N.Y.C. MUSEUM SCHOOL,2001,53,45,84.9,45,84.9,100,5,9.4,11.1,40,75.5,88.9,0,0,0,8,15.1,0,0
Total Cohort,02M414,N.Y.C. MUSEUM SCHOOL,2002,56,43,76.8,39,69.599999999999994,90.7,10,17.899999999999999,23.3,29,51.8,67.400000000000006,4,7.1,9.300000000000001,9,16.100000000000001,3,5.4
Total Cohort,02M414,N.Y.C. MUSEUM SCHOOL,2003,52,38,73.099999999999994,33,63.5,86.8,7,13.5,18.399999999999999,26,50,68.400000000000006,5,9.6,13.2,12,23.1,2,3.8
Total Cohort,02M414,N.Y.C. MUSEUM SCHOOL,2004,75,69,92,58,77.3,84.1,6,8,8.699999999999999,52,69.3,75.400000000000006,11,14.7,15.9,3,4,3,4
Total Cohort,02M414,N.Y.C. MUSEUM SCHOOL,2005,100,94,94,80,80,85.1,27,27,28.7,53,53,56.4,14,14,14.9,6,6,0,0
Total Cohort,02M414,N.Y.C. MUSEUM SCHOOL,2006,106,100,94.3,86,81.099999999999994,86,5,4.7,5,81,76.400000000000006,81,14,13.2,14,3,2.8,2,1.9
Total Cohort,02M414,N.Y.C. MUSEUM SCHOOL,2006 Aug,106,102,96.2,86,81.099999999999994,84.3,5,4.7,4.9,81,76.400000000000006,79.400000000000006,16,15.1,15.7,1,0.9,2,1.9
Total Cohort,02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2001,2,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2002,101,98,97,97,96,99,0,0,0,97,96,99,1,1,1,2,2,1,1
Total Cohort,02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2003,117,116,99.1,115,98.3,99.1,77,65.8,66.400000000000006,38,32.5,32.799999999999997,1,0.9,0.9,1,0.9,0,0
Total Cohort,02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2004,105,105,100,101,96.2,96.2,69,65.7,65.7,32,30.5,30.5,4,3.8,3.8,0,0,0,0
Total Cohort,02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2005,115,114,99.1,113,98.3,99.1,76,66.099999999999994,66.7,37,32.200000000000003,32.5,1,0.9,0.9,0,0,0,0
Total Cohort,02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2006,127,127,100,126,99.2,99.2,110,86.6,86.6,16,12.6,12.6,1,0.8,0.8,0,0,0,0
Total Cohort,02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2006 Aug,127,127,100,126,99.2,99.2,110,86.6,86.6,16,12.6,12.6,1,0.8,0.8,0,0,0,0
Total Cohort,02M418,MILLENNIUM HIGH SCHOOL,2002,91,82,90.1,68,74.7,82.9,0,0,0,68,74.7,82.9,14,15.4,17.100000000000001,8,8.800000000000001,1,1.1
Total Cohort,02M418,MILLENNIUM HIGH SCHOOL,2003,107,95,88.8,82,76.599999999999994,86.3,21,19.600000000000001,22.1,61,57,64.2,13,12.1,13.7,11,10.3,1,0.9
Total Cohort,02M418,MILLENNIUM HIGH SCHOOL,2004,105,101,96.2,89,84.8,88.1,22,21,21.8,67,63.8,66.3,12,11.4,11.9,2,1.9,2,1.9
Total Cohort,02M418,MILLENNIUM HIGH SCHOOL,2005,123,119,96.7,106,86.2,89.1,15,12.2,12.6,91,74,76.5,13,10.6,10.9,4,3.3,0,0
Total Cohort,02M418,MILLENNIUM HIGH SCHOOL,2006,150,145,96.7,139,92.7,95.9,68,45.3,46.9,71,47.3,49,6,4,4.1,5,3.3,0,0
Asian,13K670,BENJAMIN BANNEKER ACADEMY,2004,8,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,02M418,MILLENNIUM HIGH SCHOOL,2006 Aug,150,149,99.3,140,93.3,94,68,45.3,45.6,72,48,48.3,9,6,6,1,0.7,0,0
Total Cohort,02M419,LANDMARK HIGH SCHOOL,2001,79,48,60.8,0,0,0,0,0,0,0,0,0,48,60.8,100,21,26.6,8,10.1
Total Cohort,02M419,LANDMARK HIGH SCHOOL,2002,95,58,61.1,0,0,0,0,0,0,0,0,0,58,61.1,100,22,23.2,15,15.8
Total Cohort,02M419,LANDMARK HIGH SCHOOL,2003,78,47,60.3,0,0,0,0,0,0,0,0,0,47,60.3,100,12,15.4,18,23.1
Total Cohort,02M419,LANDMARK HIGH SCHOOL,2004,100,52,52,0,0,0,0,0,0,0,0,0,52,52,100,33,33,12,12
Total Cohort,02M419,LANDMARK HIGH SCHOOL,2005,98,60,61.2,0,0,0,0,0,0,0,0,0,60,61.2,100,26,26.5,7,7.1
Total Cohort,02M419,LANDMARK HIGH SCHOOL,2006,94,58,61.7,58,61.7,100,0,0,0,58,61.7,100,0,0,0,17,18.100000000000001,13,13.8
Total Cohort,02M419,LANDMARK HIGH SCHOOL,2006 Aug,94,61,64.900000000000006,61,64.900000000000006,100,0,0,0,61,64.900000000000006,100,0,0,0,14,14.9,13,13.8
Total Cohort,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AN,2001,307,235,76.5,203,66.099999999999994,86.4,52,16.899999999999999,22.1,151,49.2,64.3,32,10.4,13.6,41,13.4,28,9.1
Total Cohort,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AN,2002,307,251,81.8,194,63.2,77.3,55,17.899999999999999,21.9,139,45.3,55.4,57,18.600000000000001,22.7,28,9.1,22,7.2
Total Cohort,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AN,2003,246,184,74.8,112,45.5,60.9,21,8.5,11.4,91,37,49.5,72,29.3,39.1,47,19.100000000000001,11,4.5
Total Cohort,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AN,2004,269,207,77,171,63.6,82.6,48,17.8,23.2,123,45.7,59.4,36,13.4,17.399999999999999,58,21.6,1,0.4
Total Cohort,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AN,2005,344,254,73.8,213,61.9,83.9,45,13.1,17.7,168,48.8,66.099999999999994,41,11.9,16.100000000000001,80,23.3,1,0.3
Total Cohort,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AN,2006,341,280,82.1,242,71,86.4,49,14.4,17.5,193,56.6,68.900000000000006,38,11.1,13.6,50,14.7,2,0.6
Total Cohort,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AN,2006 Aug,341,294,86.2,250,73.3,85,49,14.4,16.7,201,58.9,68.400000000000006,44,12.9,15,36,10.6,2,0.6
Total Cohort,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SC,2001,120,84,70,15,12.5,17.899999999999999,0,0,0,15,12.5,17.899999999999999,69,57.5,82.1,15,12.5,14,11.7
Total Cohort,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SC,2002,121,84,69.400000000000006,47,38.799999999999997,56,19,15.7,22.6,28,23.1,33.299999999999997,37,30.6,44,8,6.6,19,15.7
Total Cohort,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SC,2003,170,97,57.1,46,27.1,47.4,2,1.2,2.1,44,25.9,45.4,51,30,52.6,28,16.5,27,15.9
Total Cohort,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SC,2004,151,90,59.6,45,29.8,50,10,6.6,11.1,35,23.2,38.9,45,29.8,50,22,14.6,29,19.2
Total Cohort,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SC,2005,143,72,50.3,25,17.5,34.700000000000003,0,0,0,25,17.5,34.700000000000003,47,32.9,65.3,35,24.5,27,18.899999999999999
Total Cohort,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SC,2006,144,78,54.2,58,40.299999999999997,74.400000000000006,9,6.3,11.5,49,34,62.8,20,13.9,25.6,32,22.2,23,16
Total Cohort,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SC,2006 Aug,144,93,64.599999999999994,66,45.8,71,9,6.3,9.699999999999999,57,39.6,61.3,27,18.8,29,17,11.8,23,16
Total Cohort,02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,2001,75,16,21.3,0,0,0,0,0,0,0,0,0,16,21.3,100,36,48,21,28
Total Cohort,02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,2002,75,25,33.299999999999997,0,0,0,0,0,0,0,0,0,27,36,108,27,36,21,28
Total Cohort,02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,2003,76,28,36.799999999999997,2,2.6,7.1,0,0,0,2,2.6,7.1,26,34.200000000000003,92.9,29,38.200000000000003,16,21.1
Total Cohort,02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,2004,71,27,38,3,4.2,11.1,0,0,0,3,4.2,11.1,24,33.799999999999997,88.9,19,26.8,24,33.799999999999997
Total Cohort,02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,2005,93,47,50.5,18,19.399999999999999,38.299999999999997,3,3.2,6.4,15,16.100000000000001,31.9,29,31.2,61.7,30,32.299999999999997,10,10.8
Total Cohort,02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,2006,73,35,47.9,15,20.5,42.9,0,0,0,15,20.5,42.9,20,27.4,57.1,22,30.1,5,6.8
Total Cohort,02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,2006 Aug,73,43,58.9,17,23.3,39.5,0,0,0,17,23.3,39.5,26,35.6,60.5,14,19.2,5,6.8
Total Cohort,02M439,MANHATTAN VILLAGE ACADEMY,2001,63,54,85.7,33,52.4,61.1,0,0,0,33,52.4,61.1,21,33.299999999999997,38.9,5,7.9,1,1.6
Total Cohort,02M439,MANHATTAN VILLAGE ACADEMY,2002,80,60,75,47,58.8,78.3,0,0,0,47,58.8,78.3,13,16.3,21.7,15,18.8,1,1.3
Total Cohort,02M439,MANHATTAN VILLAGE ACADEMY,2003,86,76,88.4,56,65.099999999999994,73.7,3,3.5,3.9,53,61.6,69.7,20,23.3,26.3,7,8.1,2,2.3
Total Cohort,02M439,MANHATTAN VILLAGE ACADEMY,2004,87,78,89.7,64,73.599999999999994,82.1,7,8,9,57,65.5,73.099999999999994,14,16.100000000000001,17.899999999999999,4,4.6,4,4.6
Total Cohort,02M439,MANHATTAN VILLAGE ACADEMY,2005,74,73,98.6,67,90.5,91.8,17,23,23.3,50,67.599999999999994,68.5,6,8.1,8.199999999999999,1,1.4,0,0
Total Cohort,02M439,MANHATTAN VILLAGE ACADEMY,2006,110,108,98.2,106,96.4,98.1,45,40.9,41.7,61,55.5,56.5,2,1.8,1.9,0,0,0,0
Total Cohort,07X321,CROTONA ACADEMY HIGH SCHOOL,2005,50,4,8,3,6,75,0,0,0,3,6,75,1,2,25,35,70,10,20
Total Cohort,02M439,MANHATTAN VILLAGE ACADEMY,2006 Aug,110,108,98.2,106,96.4,98.1,45,40.9,41.7,61,55.5,56.5,2,1.8,1.9,0,0,0,0
Total Cohort,02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2001,515,265,51.5,121,23.5,45.7,44,8.5,16.600000000000001,77,15,29.1,144,28,54.3,128,24.9,109,21.2
Total Cohort,02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2002,510,210,41.2,102,20,48.6,34,6.7,16.2,68,13.3,32.4,108,21.2,51.4,195,38.200000000000003,88,17.3
Total Cohort,02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2003,407,131,32.200000000000003,41,10.1,31.3,16,3.9,12.2,25,6.1,19.100000000000001,90,22.1,68.7,175,43,92,22.6
Total Cohort,02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2004,417,201,48.2,54,12.9,26.9,19,4.6,9.5,35,8.4,17.399999999999999,147,35.299999999999997,73.099999999999994,129,30.9,78,18.7
Total Cohort,02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2005,400,204,51,85,21.3,41.7,10,2.5,4.9,75,18.8,36.799999999999997,119,29.8,58.3,123,30.8,55,13.8
Total Cohort,02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2006,365,139,38.1,73,20,52.5,8,2.2,5.8,65,17.8,46.8,66,18.100000000000001,47.5,132,36.200000000000003,68,18.600000000000001
Total Cohort,02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2006 Aug,365,171,46.8,82,22.5,48,8,2.2,4.7,74,20.3,43.3,89,24.4,52,100,27.4,68,18.600000000000001
Total Cohort,02M442,BALLET TECH  NYC PUBLIC SCHOOL FOR DA,2001,1,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,02M442,BALLET TECH  NYC PUBLIC SCHOOL FOR DA,2002,1,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,02M442,BALLET TECH  NYC PUBLIC SCHOOL FOR DA,2003,4,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,02M442,BALLET TECH  NYC PUBLIC SCHOOL FOR DA,2004,1,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,02M442,BALLET TECH  NYC PUBLIC SCHOOL FOR DA,2005,3,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,02M445,SEWARD PARK HIGH SCHOOL,2001,329,105,31.9,34,10.3,32.4,0,0,0,34,10.3,32.4,71,21.6,67.599999999999994,89,27.1,109,33.1
Total Cohort,02M445,SEWARD PARK HIGH SCHOOL,2002,201,117,58.2,45,22.4,38.5,0,0,0,45,22.4,38.5,74,36.799999999999997,63.2,12,6,62,30.8
Total Cohort,02M445,SEWARD PARK HIGH SCHOOL,2003,2,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,02M445,SEWARD PARK HIGH SCHOOL,2004,3,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,02M445,SEWARD PARK HIGH SCHOOL,2005,1,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,02M449,VANGUARD HIGH SCHOOL,2001,90,48,53.3,18,20,37.5,0,0,0,18,20,37.5,30,33.299999999999997,62.5,32,35.6,10,11.1
Total Cohort,02M449,VANGUARD HIGH SCHOOL,2002,39,26,66.7,0,0,0,0,0,0,0,0,0,26,66.7,100,5,12.8,7,17.899999999999999
Total Cohort,02M449,VANGUARD HIGH SCHOOL,2003,61,40,65.599999999999994,27,44.3,67.5,0,0,0,27,44.3,67.5,13,21.3,32.5,11,18,9,14.8
Total Cohort,02M449,VANGUARD HIGH SCHOOL,2004,68,32,47.1,30,44.1,93.8,0,0,0,30,44.1,93.8,2,2.9,6.3,26,38.200000000000003,5,7.4
Total Cohort,02M449,VANGUARD HIGH SCHOOL,2005,76,60,78.900000000000006,56,73.7,93.3,0,0,0,56,73.7,93.3,4,5.3,6.7,13,17.100000000000001,0,0
Total Cohort,02M449,VANGUARD HIGH SCHOOL,2006,89,40,44.9,38,42.7,95,0,0,0,38,42.7,95,2,2.2,5,41,46.1,3,3.4
Total Cohort,02M449,VANGUARD HIGH SCHOOL,2006 Aug,89,53,59.6,51,57.3,96.2,0,0,0,51,57.3,96.2,2,2.2,3.8,28,31.5,3,3.4
Total Cohort,02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,2001,53,34,64.2,0,0,0,0,0,0,0,0,0,34,64.2,100,16,30.2,3,5.7
Total Cohort,02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,2002,55,33,60,0,0,0,0,0,0,0,0,0,33,60,100,17,30.9,4,7.3
Total Cohort,02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,2003,91,52,57.1,0,0,0,0,0,0,0,0,0,52,57.1,100,32,35.200000000000003,5,5.5
Total Cohort,02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,2004,66,42,63.6,31,47,73.8,0,0,0,31,47,73.8,11,16.7,26.2,20,30.3,4,6.1
Total Cohort,02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,2005,68,36,52.9,34,50,94.4,0,0,0,34,50,94.4,2,2.9,5.6,22,32.4,7,10.3
Total Cohort,02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,2006,69,38,55.1,38,55.1,100,0,0,0,38,55.1,100,0,0,0,23,33.299999999999997,5,7.2
Total Cohort,02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,2006 Aug,69,41,59.4,41,59.4,100,0,0,0,41,59.4,100,0,0,0,20,29,5,7.2
Total Cohort,02M460,WASHINGTON IRVING HIGH SCHOOL,2001,562,243,43.2,93,16.5,38.299999999999997,23,4.1,9.5,70,12.5,28.8,150,26.7,61.7,161,28.6,154,27.4
Total Cohort,02M460,WASHINGTON IRVING HIGH SCHOOL,2002,633,288,45.5,124,19.600000000000001,43.1,4,0.6,1.4,120,19,41.7,164,25.9,56.9,183,28.9,140,22.1
Total Cohort,02M460,WASHINGTON IRVING HIGH SCHOOL,2003,623,266,42.7,142,22.8,53.4,18,2.9,6.8,124,19.899999999999999,46.6,124,19.899999999999999,46.6,200,32.1,141,22.6
Total Cohort,02M460,WASHINGTON IRVING HIGH SCHOOL,2004,588,215,36.6,99,16.8,46,23,3.9,10.7,76,12.9,35.299999999999997,116,19.7,54,211,35.9,144,24.5
Total Cohort,02M460,WASHINGTON IRVING HIGH SCHOOL,2005,435,159,36.6,84,19.3,52.8,5,1.1,3.1,79,18.2,49.7,75,17.2,47.2,96,22.1,145,33.299999999999997
Total Cohort,02M460,WASHINGTON IRVING HIGH SCHOOL,2006,443,230,51.9,177,40,77,12,2.7,5.2,165,37.200000000000003,71.7,53,12,23,61,13.8,118,26.6
Asian,13K670,BENJAMIN BANNEKER ACADEMY,2005,9,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,02M460,WASHINGTON IRVING HIGH SCHOOL,2006 Aug,443,237,53.5,180,40.6,75.900000000000006,12,2.7,5.1,168,37.9,70.900000000000006,57,12.9,24.1,54,12.2,118,26.6
Total Cohort,02M475,STUYVESANT HIGH SCHOOL,2001,765,748,97.8,748,97.8,100,744,97.3,99.5,4,0.5,0.5,0,0,0,15,2,2,0.3
Total Cohort,02M475,STUYVESANT HIGH SCHOOL,2002,779,748,96,748,96,100,738,94.7,98.7,10,1.3,1.3,0,0,0,23,3,4,0.5
Total Cohort,02M475,STUYVESANT HIGH SCHOOL,2003,690,671,97.2,671,97.2,100,668,96.8,99.6,3,0.4,0.4,0,0,0,18,2.6,1,0.1
Total Cohort,02M475,STUYVESANT HIGH SCHOOL,2004,694,679,97.8,679,97.8,100,674,97.1,99.3,5,0.7,0.7,0,0,0,14,2,1,0.1
Total Cohort,02M475,STUYVESANT HIGH SCHOOL,2005,781,754,96.5,754,96.5,100,747,95.6,99.1,7,0.9,0.9,0,0,0,22,2.8,4,0.5
Total Cohort,02M475,STUYVESANT HIGH SCHOOL,2006,787,774,98.3,774,98.3,100,770,97.8,99.5,4,0.5,0.5,0,0,0,10,1.3,3,0.4
Total Cohort,02M475,STUYVESANT HIGH SCHOOL,2006 Aug,787,780,99.1,780,99.1,100,772,98.1,99,8,1,1,0,0,0,4,0.5,3,0.4
Total Cohort,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,2001,113,93,82.3,64,56.6,68.8,27,23.9,29,37,32.700000000000003,39.799999999999997,29,25.7,31.2,12,10.6,8,7.1
Total Cohort,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,2002,148,122,82.4,92,62.2,75.400000000000006,27,18.2,22.1,65,43.9,53.3,30,20.3,24.6,12,8.1,13,8.800000000000001
Total Cohort,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,2003,136,101,74.3,75,55.1,74.3,1,0.7,1,74,54.4,73.3,26,19.100000000000001,25.7,21,15.4,12,8.800000000000001
Total Cohort,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,2004,146,115,78.8,79,54.1,68.7,34,23.3,29.6,45,30.8,39.1,36,24.7,31.3,19,13,12,8.199999999999999
Total Cohort,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,2005,134,94,70.099999999999994,74,55.2,78.7,23,17.2,24.5,51,38.1,54.3,20,14.9,21.3,21,15.7,15,11.2
Total Cohort,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,2006,177,136,76.8,112,63.3,82.4,43,24.3,31.6,69,39,50.7,24,13.6,17.600000000000001,22,12.4,13,7.3
Total Cohort,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,2006 Aug,177,150,84.7,121,68.400000000000006,80.7,43,24.3,28.7,78,44.1,52,29,16.399999999999999,19.3,8,4.5,13,7.3
Total Cohort,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2001,43,14,32.6,9,20.9,64.3,0,0,0,9,20.9,64.3,5,11.6,35.700000000000003,20,46.5,9,20.9
Total Cohort,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2002,47,15,31.9,15,31.9,100,0,0,0,15,31.9,100,0,0,0,12,25.5,17,36.200000000000003
Total Cohort,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2003,30,12,40,9,30,75,0,0,0,9,30,75,3,10,25,10,33.299999999999997,8,26.7
Total Cohort,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2004,40,21,52.5,12,30,57.1,0,0,0,12,30,57.1,9,22.5,42.9,16,40,3,7.5
Total Cohort,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2005,41,21,51.2,8,19.5,38.1,0,0,0,8,19.5,38.1,13,31.7,61.9,13,31.7,6,14.6
Total Cohort,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2006,53,39,73.599999999999994,31,58.5,79.5,4,7.5,10.3,27,50.9,69.2,8,15.1,20.5,7,13.2,6,11.3
Total Cohort,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2006 Aug,53,39,73.599999999999994,31,58.5,79.5,4,7.5,10.3,27,50.9,69.2,8,15.1,20.5,7,13.2,6,11.3
Total Cohort,02M519,TALENT UNLIMITED HIGH SCHOOL,2001,67,62,92.5,48,71.599999999999994,77.400000000000006,0,0,0,48,71.599999999999994,77.400000000000006,14,20.9,22.6,1,1.5,1,1.5
Total Cohort,02M519,TALENT UNLIMITED HIGH SCHOOL,2002,80,67,83.8,60,75,89.6,15,18.8,22.4,45,56.3,67.2,7,8.800000000000001,10.4,8,10,5,6.3
Total Cohort,02M519,TALENT UNLIMITED HIGH SCHOOL,2003,134,119,88.8,96,71.599999999999994,80.7,49,36.6,41.2,47,35.1,39.5,23,17.2,19.3,12,9,3,2.2
Total Cohort,02M519,TALENT UNLIMITED HIGH SCHOOL,2004,94,81,86.2,67,71.3,82.7,36,38.299999999999997,44.4,31,33,38.299999999999997,14,14.9,17.3,11,11.7,2,2.1
Total Cohort,02M519,TALENT UNLIMITED HIGH SCHOOL,2005,92,82,89.1,66,71.7,80.5,18,19.600000000000001,22,48,52.2,58.5,16,17.399999999999999,19.5,10,10.9,0,0
Total Cohort,02M519,TALENT UNLIMITED HIGH SCHOOL,2006,136,126,92.6,119,87.5,94.4,36,26.5,28.6,83,61,65.900000000000006,7,5.1,5.6,9,6.6,0,0
Total Cohort,02M519,TALENT UNLIMITED HIGH SCHOOL,2006 Aug,136,127,93.4,120,88.2,94.5,36,26.5,28.3,84,61.8,66.099999999999994,7,5.1,5.5,8,5.9,0,0
Total Cohort,02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSIN,2001,597,404,67.7,330,55.3,81.7,56,9.4,13.9,274,45.9,67.8,74,12.4,18.3,100,16.8,73,12.2
